id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,29102.091353853,566396372213.0,1.0,611238549493.0,11094574380.0,29222.0,28948.0,-81.1506813754786,-0.27807,-1114185861.5134277,-0.19633,19459381.0,21000000.0,21000000.0,69045.0,-57.83205,2021-11-10T14:24:11.849Z,67.81,42836.42849,2013-07-06T00:00:00.000Z,,2023-08-16T20:16:53.010Z,21.47779418299818,-0.27807287921443685,-2.594425676427904
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1820.658980576,218760865162.0,2.0,218760865162.0,4827999167.0,1829.89,1815.66,-6.723242237641443,-0.36792,-662344845.8563538,-0.30186,120139112.969494,120139112.969494,,4878.26,-62.68586,2021-11-10T14:24:19.604Z,0.432979,420308.75795,2015-10-20T00:00:00.000Z,"{'times': 82.64156341383108, 'currency': 'btc', 'percentage': 8264.156341383108}",2023-08-16T20:16:51.732Z,-3.184897376079839,-0.36791658328003557,-3.583068622770485
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.998972589,83109456131.0,3.0,83109456131.0,19664558283.0,1.0,0.9972,-0.000601019498364552,-0.06013,-231825819.26661682,-0.27816,83183030691.112,83183030691.112,,1.32,-24.47823,2018-07-24T00:00:00.000Z,0.572521,74.53072,2015-03-02T00:00:00.000Z,,2023-08-16T20:15:00.563Z,-0.16514142328283504,-0.060127587705267695,-0.19034369355775607
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,234.17924568,36033494735.0,4.0,46840499694.0,460161769.0,238.25,232.73,-2.0171280046874642,-0.854,-300076494.2720337,-0.82589,153856150.0,153856150.0,200000000.0,686.31,-65.89446,2021-05-10T07:24:17.097Z,0.0398177,587750.52978,2017-10-19T00:00:00.000Z,,2023-08-16T20:16:53.333Z,-25.842790834370827,-0.854004645887938,-3.51713099657836
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.596516207,31519342442.0,5.0,59648425355.0,1309024438.0,0.61355,0.591854,-0.007582331971545675,-1.25515,-334026254.63703537,-1.04864,52841868422.0,99988501123.0,100000000000.0,3.4,-82.44582,2018-01-07T00:00:00.000Z,0.00268621,22108.64487,2014-05-22T00:00:00.000Z,,2023-08-16T20:16:56.538Z,58.843974349327524,-1.2551482059113188,-18.690174170914588
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.000231073,26024893959.0,6.0,26028661853.0,3302252473.0,1.001,0.998243,0.00015011,0.01501,46469344.0,0.17888,26015351898.9747,26019118411.1347,,1.17,-14.71123,2019-05-08T00:40:28.300Z,0.877647,13.96234,2023-03-11T08:02:13.981Z,,2023-08-16T20:16:49.444Z,-0.009344968148638451,0.015009896181604702,-0.03677435357461536
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1819.516089602,14821816973.0,7.0,14821816973.0,16789196.0,1828.76,1814.12,-6.411858773956055,-0.35116,-13120130.661216736,-0.08844,8146375.45267249,8146375.45267249,8146375.45267249,4829.57,-62.36145,2021-11-10T14:40:47.256Z,482.9,276.4329,2020-12-22T04:08:21.854Z,,2023-08-16T20:16:33.646Z,-0.42737544370702996,-0.35115617676248045,-3.5800613081836747
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.069074068,9709632507.0,8.0,9709617316.0,440861324.0,0.071217,0.068851,-0.002137263907949605,-3.0013,-309728276.0817814,-3.0913,140617566383.705,140617346383.705,,0.731578,-90.56329,2021-05-08T05:08:23.458Z,8.69e-05,79340.67152,2015-05-06T00:00:00.000Z,,2023-08-16T20:16:51.937Z,-19.144212780962754,-3.0012974818989613,0.13205954252782143
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.275179132,9650162534.0,9.0,12391412639.0,194360265.0,0.283585,0.271891,-0.006560586230913545,-2.3286,-214363756.01415825,-2.17308,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.08984,2021-09-02T06:00:10.474Z,0.01925275,1328.62036,2020-03-13T02:22:55.044Z,,2023-08-16T20:16:56.389Z,-51.10910961438916,-2.3285982759813124,-11.284885462362766
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,23.34917978,9520374631.0,10.0,12976235312.0,427139032.0,24.11,22.96,-0.6779651043924275,-2.82166,-234011602.31285095,-2.39904,407272611.254772,555111058.608947,,259.96,-91.01493,2021-11-06T21:54:35.825Z,0.500801,4564.0281,2020-05-11T19:35:23.449Z,,2023-08-16T20:16:56.962Z,-45.94013087684561,-2.82166319659925,-10.817620742232508
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.075724801,6772268501.0,11.0,6772275793.0,194522480.0,0.076654,0.07546,-0.000740514624139002,-0.96843,-64906447.26713276,-0.94932,89452920099.559,89453016415.6432,,0.231673,-67.32958,2018-01-05T00:00:00.000Z,0.00180434,4094.79647,2017-11-12T00:00:00.000Z,"{'times': 38.85515863762276, 'currency': 'usd', 'percentage': 3885.515863762276}",2023-08-16T20:16:50.451Z,8.575156586868525,-0.9684320454440086,-4.5690153866011585
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,4.7042315,5954359419.0,12.0,6335313647.0,106577651.0,4.83,4.7,-0.06467898450680121,-1.35626,-83030332.26761723,-1.37527,1265055324.21076,1345992355.43505,,54.98,-91.44129,2021-11-04T14:10:09.301Z,2.7,74.44799,2020-08-20T05:48:11.359Z,,2023-08-16T20:16:55.995Z,-46.928014938431794,-1.356263337691404,-9.852885058808466
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,0.622956136,5814408321.0,13.0,6238990954.0,298765865.0,0.642995,0.61784,-0.017857379088668912,-2.78667,-150790925.7191143,-2.52784,9319469069.28493,10000000000.0,10000000000.0,2.92,-78.61996,2021-12-27T02:08:34.307Z,0.00314376,19732.88247,2019-05-10T00:00:00.000Z,"{'times': 235.86545110883043, 'currency': 'usd', 'percentage': 23586.545110883042}",2023-08-16T20:16:51.607Z,-33.600044478228575,-2.786673292088603,-19.256076015901826
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,9.771e-06,5759026861.0,14.0,9771950437.0,337526482.0,1.011e-05,9.52e-06,-1.72905164717e-07,-1.73886,-89397139.25196266,-1.52857,589334467517118.1,999986168953236.0,,8.616e-05,-88.67987,2021-10-28T03:54:55.568Z,5.6366e-11,17303270.39612,2020-11-28T11:26:25.838Z,,2023-08-16T20:16:51.932Z,-39.519699358509605,-1.738856794275553,26.109556476769136
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,77.07672976,5674687531.0,15.0,6481053936.0,675836577.0,79.76,76.73,-2.32126425709194,-2.92358,-160396695.50456905,-2.74883,73548801.9834713,84000000.0,84000000.0,410.26,-81.20034,2021-05-10T03:13:07.904Z,1.15,6613.49319,2015-01-14T00:00:00.000Z,,2023-08-16T20:16:50.139Z,26.09188430536042,-2.923580483156428,-15.52262506175379
the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1670498136,1.423515818,4897021408.0,16.0,7251571387.0,17313462.0,1.51,1.4,-0.03607714428327036,-2.47173,-92117462.64042187,-1.84636,3438637245.29964,5091977629.30275,,5.29,-73.0696,2021-11-12T06:50:02.476Z,0.519364,174.34192,2021-09-21T00:33:11.092Z,,2023-08-16T20:16:57.154Z,15.149456780517692,-2.4717263796081945,5.144134583688082
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,29096.47815907,4720391140.0,17.0,4720391140.0,45203553.0,29212.0,28979.0,-69.16259571513001,-0.23714,-8487405.8157444,-0.17948,162205.42867407,162205.42867407,162205.42867407,70643.0,-58.82128,2021-11-10T14:40:19.650Z,3139.17,826.67859,2019-04-02T00:00:00.000Z,,2023-08-16T20:16:54.154Z,21.538697923001816,-0.2371372406888817,-2.7052503394554175
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,214.668688553,4181540347.0,18.0,4508289376.0,261762122.0,231.64,213.9,-16.955182320706598,-7.32014,-321328898.1313138,-7.13609,19477974.8966508,21000000.0,21000000.0,3785.82,-94.3259,2017-12-20T00:00:00.000Z,76.93,179.21205,2018-12-16T00:00:00.000Z,,2023-08-16T20:16:50.573Z,56.985592609553215,-7.320135984579392,-10.344528880485319
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1687143398,5.527443604,4164803228.0,19.0,5525321576.0,147387779.0,6.03,5.51,-0.46417704895731227,-7.7471,-343038308.1722398,-7.60981,753766667.0,1000000000.0,1000000000.0,44.92,-87.71287,2021-05-03T05:25:04.822Z,1.03,435.75,2020-09-17T01:20:38.214Z,,2023-08-16T20:16:56.351Z,-33.789184754389495,-7.747103427119644,-3.782046008580525
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1670992574,11.509738814,3964004012.0,20.0,8297336940.0,102404458.0,11.85,11.41,-0.25468700353886575,-2.16489,-73649659.56012201,-1.82407,343975773.081871,430695224.157592,720000000.0,144.96,-92.05284,2021-11-21T14:18:56.538Z,2.8,311.28275,2020-12-31T13:15:21.540Z,,2023-08-16T20:16:52.672Z,-57.916375464979765,-2.164891066473195,-18.77797032722677
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1687143508,1.00045264,3926663662.0,21.0,3926663662.0,68175715.0,1.001,0.998385,0.00044402,0.0444,-6094942.092583656,-0.15498,3923849933.26141,3923849933.26141,,1.22,-17.93263,2020-03-13T03:02:50.373Z,0.88196,13.42287,2023-03-11T07:50:50.514Z,,2023-08-16T20:15:00.400Z,0.029703428218248527,0.044401728457910045,-0.06195274406751364
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,4.001251138,3717005377.0,22.0,3939440153.0,225103.0,4.02,3.94,0.057852,1.46706,31194687.0,0.84635,929609383.9,985239504.0,,8.14,-50.80489,2022-02-08T17:40:10.285Z,0.799859,400.36201,2019-12-24T15:14:35.376Z,,2023-08-16T20:16:31.872Z,-22.615145679140817,1.4670642760894375,0.8886210280848353
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,6.812739539,3666121364.0,23.0,6813085969.0,256259290.0,7.06,6.78,-0.23735700420611927,-3.36672,-125346687.49739218,-3.30602,538099971.2305644,1000000000.0,1000000000.0,52.7,-87.08148,2021-05-10T00:13:57.214Z,0.148183,4494.05578,2017-11-29T00:00:00.000Z,,2023-08-16T20:16:51.612Z,-19.86804414368383,-3.366719912793157,-1.3842248254968856
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.128246812,3511137115.0,24.0,6411945794.0,78701811.0,0.13208,0.127186,2.17e-06,0.00169,-2631082.014444351,-0.07488,27380632436.6299,50001787244.4735,50001787244.4735,0.875563,-85.35007,2018-01-03T00:00:00.000Z,0.00047612,26840.36345,2015-03-05T00:00:00.000Z,,2023-08-16T20:16:51.828Z,4.998013792533247,0.0016925663594769447,1.2887329867555937
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,0.999870099,3310710996.0,25.0,3310710996.0,2555371627.0,1.002,0.997209,-0.000935306043675754,-0.09346,-37023683.09600735,-1.10593,3310735903.2,3310735903.2,,1.15,-13.32093,2020-03-13T02:35:42.953Z,0.901127,11.02242,2021-05-19T13:04:37.445Z,,2023-08-16T20:16:55.908Z,-0.050580375518548035,-0.09345533496373845,-0.22800844173692827
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,155.478477711,2819880618.0,26.0,,83637771.0,156.16,154.21,0.186392,0.12003,3439081.0,0.12211,18147820.3764146,,,542.33,-71.37498,2018-01-09T00:00:00.000Z,0.216177,71711.9934,2015-01-14T00:00:00.000Z,,2023-08-16T20:16:50.408Z,-9.272748446554557,0.12002684768548579,-5.496971035276567
true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,0.999434438,2749714156.0,27.0,2749714156.0,1746848981.0,1.002,0.995831,0.00038716,0.03875,1431412.0,0.05208,2752973685.45,2752973685.45,,1.62,-38.27108,2018-08-26T20:41:09.375Z,0.88355,13.07685,2020-03-12T10:47:51.380Z,,2023-08-16T20:16:47.425Z,-0.07729372696526322,0.038752434095442614,-0.12257960172532702
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050,45.498695293,2729762093.0,28.0,13648810464.0,3863800.0,46.53,45.16,-0.531982269594458,-1.15571,-45348299.322212696,-1.63411,60000000.0,235957685.3,300000000.0,58.66,-22.48067,2023-02-18T01:21:37.582Z,0.580608,7731.75189,2019-01-14T00:00:00.000Z,,2023-08-16T20:16:50.286Z,116.04169350576315,-1.155712446046731,4.361935974579495
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,16.371951712,2334765712.0,29.0,3451583348.0,71673551.0,16.75,16.27,-0.2941298327559885,-1.76484,-39002362.675089836,-1.64306,142524483.98711,210700000.0,210700000.0,167.09,-90.20127,2021-05-06T18:34:22.133Z,0.615038,2561.98856,2016-07-25T00:00:00.000Z,"{'times': 35.38211491503409, 'currency': 'usd', 'percentage': 3538.211491503409}",2023-08-16T20:16:52.155Z,-59.377183887995756,-1.7648409553874902,-13.134503013004565
cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,7.930240636,2321109554.0,30.0,,104717814.0,8.11,7.87,-0.11579575253559504,-1.43917,-30809046.014512062,-1.30995,292586163.827428,,,44.45,-82.15984,2022-01-17T00:34:41.497Z,1.16,583.55139,2020-03-13T02:27:44.591Z,"{'times': 78.30240636327699, 'currency': 'usd', 'percentage': 7830.240636327699}",2023-08-16T20:16:51.883Z,-30.674697129775947,-1.4391651608221736,-14.49259002108199
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.064573123,2123417847.0,31.0,3219366649.0,279644389.0,0.069552,0.061277,-0.004301095853588969,-6.24486,-107894420.62104225,-4.83547,32978813518.9111,50000000000.0,50000000000.0,0.569229,-88.761,2021-09-15T10:40:28.318Z,0.00986111,548.76733,2020-01-02T17:30:24.852Z,,2023-08-16T20:16:51.204Z,-16.50516852293025,-6.244856083765263,26.573309901914598
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,3.795351359,1681274008.0,32.0,7449523749.0,70776445.0,3.86,3.79,-0.007610795966290329,-0.20013,1775101.0,0.10569,442705557.0,1961575296.0,1961575296.0,236.84,-98.39715,2021-04-01T13:29:41.564Z,2.64,43.74257,2022-12-16T22:45:28.552Z,,2023-08-16T20:16:52.129Z,-54.47706753939705,-0.2001281016140012,-11.768545344883707
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,3.764439983,1662899145.0,33.0,1767066735.0,24411183.0,3.85,3.72,-0.07162449253004421,-1.86713,-27343187.481141567,-1.61771,441553825.753476,503896644.979111,469213710.0,700.65,-99.46257,2021-05-10T16:05:53.653Z,3.4,10.78275,2022-12-19T22:45:01.729Z,,2023-08-16T20:16:52.118Z,-51.46955836124781,-1.8671347413983268,-7.583408683011865
lido-dao,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1609873644,1.711077109,1504527333.0,34.0,1711941405.0,34355001.0,1.75,1.7,-0.000398862622896568,-0.02331,3188428.0,0.21237,878842774.057245,1000000000.0,1000000000.0,7.3,-76.54807,2021-08-20T08:35:20.158Z,0.40615,321.68302,2022-06-18T20:55:12.035Z,,2023-08-16T20:16:53.401Z,-33.70160716895174,-0.023305183913299096,-14.916230031284508
mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1689320029,0.451509266,1460821870.0,35.0,2809078617.0,13723343.0,0.456789,0.450641,-0.004017560981793789,-0.88196,-13590355.463713646,-0.92175,3234268324.76314,6219316794.99,6219316794.99,0.600075,-24.69007,2023-07-20T22:39:30.228Z,0.45061,0.28977,2023-08-08T23:34:42.573Z,,2023-08-16T20:16:35.962Z,,-0.8819592479369991,-8.882460331551536
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,100.449886902,1460570384.0,36.0,1467430968.0,14032079.0,101.3,99.5,0.35241,0.35207,6115418.0,0.42046,14544176.164091088,14612493.0,14612493.0,427.42,-76.53969,2021-09-11T09:15:00.668Z,0.215773,46372.19816,2018-08-23T00:00:00.000Z,"{'times': 22.719891039946408, 'currency': 'eth', 'percentage': 2271.9891039946406}",2023-08-16T20:16:47.294Z,-12.533230189095434,0.3520665564485111,-0.2790006747755398
crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1669699773,0.05494221,1439868962.0,37.0,1647607075.0,18945801.0,0.056051,0.054761,-0.000996223212908605,-1.78093,-25740833.82191038,-1.75632,26217457735.7154,30000000000.0,,0.965407,-94.31248,2021-11-24T15:53:54.855Z,0.0121196,353.04891,2019-02-08T00:00:00.000Z,,2023-08-16T20:16:49.542Z,-63.518490940714,-1.7809279990349658,-7.481938867439903
aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1666839629,6.311682561,1427546259.0,38.0,6644202557.0,100941671.0,6.57,6.26,-0.2594081494029643,-3.94772,-51483077.714906454,-3.48087,225643581.363296,1050208811.64034,,19.92,-68.27548,2023-01-26T14:25:17.390Z,3.08,105.19708,2022-12-29T21:35:14.796Z,,2023-08-16T20:16:50.472Z,,-3.9477182837310707,-17.405636888677677
arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1680097630,1.085595271,1385112384.0,39.0,10863626541.0,173709645.0,1.14,1.075,-0.05051810504556653,-4.44657,-61703941.8483758,-4.26481,1275000000.0,10000000000.0,10000000000.0,8.67,-87.46402,2023-03-23T13:10:03.106Z,0.912886,19.10338,2023-06-15T07:25:14.752Z,,2023-08-16T20:16:53.905Z,,-4.446572509868287,-14.867199015472773
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1680067517,0.017419764,1267421812.0,40.0,1511410501.0,42592734.0,0.0176913,0.01711453,-0.000208074312388409,-1.18037,-16566999.547648191,-1.29028,72714516834.0,85985041177.0,86712634466.0,0.280991,-93.79617,2021-04-19T01:08:21.675Z,0.00191713,809.28463,2020-03-13T02:29:59.652Z,"{'times': 2.348151373018413, 'currency': 'eth', 'percentage': 234.8151373018413}",2023-08-16T20:16:52.364Z,-43.62946782530385,-1.180373411826497,-9.201393541522366
near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1683515160,1.232124118,1161220217.0,41.0,1233147860.0,65485874.0,1.29,1.22,-0.040737322566900325,-3.20045,-36232053.73208046,-3.02576,941671517.686093,1000000000.0,,20.44,-93.96158,2022-01-16T22:09:45.873Z,0.526762,134.28768,2020-11-04T16:09:15.137Z,,2023-08-16T20:16:48.857Z,-76.76215424121244,-3.200452245190983,-15.168558535457203
optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1660904599,1.445197882,1036239248.0,42.0,6209792621.0,101072561.0,1.49,1.42,-0.024289658709863993,-1.65293,-14858571.597247005,-1.41362,716708907.0,4294967296.0,4294967296.0,3.22,-55.2261,2023-02-24T20:20:00.509Z,0.402159,258.84975,2022-06-18T20:54:52.178Z,,2023-08-16T20:16:50.218Z,-0.18235899624375146,-1.6529339674149344,-0.08821436643302698
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,1127.991668975,1016473356.0,43.0,1134061704.0,132913251.0,1237.76,1124.16,-106.32437896376928,-8.61403,-101063077.49941802,-9.04338,901310.9472893132,977631.036950888,1005577.0,6292.31,-82.13468,2021-05-03T21:54:29.333Z,168.36,567.711,2020-03-16T20:52:36.527Z,,2023-08-16T20:16:57.373Z,14.851754795804975,-8.614031968662356,19.94181975288939
rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1637652366,1978.432630884,986081227.0,44.0,986081227.0,8232681.0,1988.74,1971.91,-7.301521421577263,-0.3677,-1556025.663768649,-0.15755,498275.397318508,498275.397318508,,4814.31,-58.97186,2021-12-01T08:03:50.749Z,887.26,122.61952,2022-06-18T20:55:45.957Z,,2023-08-16T20:16:51.341Z,3.139532799239468,-0.36769883889540605,-2.678533551270824
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.100521956,917819409.0,45.0,1005316521.0,45904979.0,0.104277,0.099968,-0.00171241508230377,-1.67499,-11920009.989682794,-1.28208,9129656078.46667,10000000000.0,,2.84,-96.46078,2021-02-12T07:28:45.775Z,0.052051,93.20873,2022-11-22T10:05:03.503Z,,2023-08-16T20:16:54.653Z,-23.17371179277038,-1.6749896055155737,-15.529712629934478
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,61.653134469,895649072.0,46.0,986965952.0,75349606.0,63.67,61.09,-1.7811067790621138,-2.8078,-23180727.567380786,-2.52285,14519634.759364387,16000000.0,16000000.0,661.69,-90.67635,2021-05-18T21:19:59.514Z,26.02,137.07214,2020-11-05T09:20:11.928Z,,2023-08-16T20:16:52.436Z,-42.94141713244197,-2.8078002416770707,-16.87262367573024
xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-icon.png?1633700890,0.060099501,832992349.0,47.0,2275754408.0,7148821.0,0.064191,0.0587,-0.003471533155055315,-5.46087,-52389431.85341179,-5.91716,13856625850.5,37856623042.2,,0.192754,-68.75089,2021-08-21T04:39:48.324Z,0.00039532,15136.83036,2019-07-22T00:00:00.000Z,"{'times': 3.388820372792013, 'currency': 'eth', 'percentage': 338.8820372792013}",2023-08-16T20:16:54.209Z,75.27180982392326,-5.460872567295878,77.32171104979206
whitebit,wbt,WhiteBIT Coin,https://assets.coingecko.com/coins/images/27045/large/wbt_token.png?1667923752,5.648560984,813817389.0,48.0,2258744831.0,7618231.0,5.8,5.64,-0.0731025723570351,-1.27765,-9975249.19299519,-1.21089,144118517.10815412,368808535.0,400000000.0,14.64,-61.42941,2022-10-28T12:32:18.119Z,3.06,84.48853,2023-02-13T19:01:21.899Z,,2023-08-16T20:16:23.372Z,,-1.2776454195794014,2.5395407088712734
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,0.103958273,812469699.0,49.0,1038206332.0,55132957.0,0.108806,0.103247,-0.003722266438083391,-3.45677,-30041430.488248944,-3.5657,7825705487.03327,7825705496.99835,10000000000.0,3.56,-97.089,2019-06-20T14:51:19.480Z,0.098399,5.35212,2023-06-10T04:31:46.997Z,"{'times': -0.9566840529101577, 'currency': 'usd', 'percentage': -95.66840529101576}",2023-08-16T20:16:49.330Z,-70.74674018437264,-3.4567680074482694,-12.521252334347915
kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1653891958,0.039854773,805869396.0,50.0,1145933284.0,13632580.0,0.04275828,0.03907877,-0.000394594131487035,-0.98037,-4893873.996073842,-0.60361,20185901658.132,20185618427.4012,28704026601.0,0.051714,-22.35064,2023-08-06T12:10:40.416Z,0.00017105,23376.0045,2022-05-26T14:42:59.316Z,,2023-08-16T20:16:47.255Z,1649.9430284752261,-0.9803734937677558,21.09412747531041
frax,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/FRAX_icon.png?1679886922,0.997429336,804714324.0,51.0,804714324.0,9342652.0,0.999208,0.995484,0.00091463,0.09178,-6234053.291624308,-0.76874,806724883.039067,806724883.039067,,1.14,-12.52543,2021-02-07T12:55:35.766Z,0.874536,14.07242,2023-03-11T07:50:39.316Z,,2023-08-16T20:16:51.454Z,-0.35995569447192177,0.09178298748005269,-0.11374373003495782
havven,snx,Synthetix Network,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,2.349030518,755819623.0,52.0,757519849.0,26762558.0,2.38,2.29,-0.010356219113078604,-0.43894,-1769895.0218969584,-0.23362,321806453.13952357,322530361.088774,322530361.088774,28.53,-91.77835,2021-02-14T01:12:38.505Z,0.0347864,6643.51089,2019-01-06T00:00:00.000Z,"{'times': 3.698061035830066, 'currency': 'usd', 'percentage': 369.8061035830066}",2023-08-16T20:16:48.955Z,-36.213135267367726,-0.43893690468580476,-8.579309480594395
elrond-erd-2,egld,MultiversX,https://assets.coingecko.com/coins/images/12335/large/egld-token-logo.png?1673490885,29.170433,752878029.0,53.0,915238329.0,15886726.0,29.62,28.69,-0.17649722190525807,-0.60142,-4558564.659297109,-0.60184,25842843.0,25847995.0,31415926.0,545.64,-94.66508,2021-11-23T10:33:26.737Z,6.51,347.37848,2020-10-07T01:44:53.554Z,,2023-08-16T20:16:56.544Z,-51.65559392683298,-0.6014163000123534,-20.807068622277882
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,0.359644164,740764539.0,54.0,1079867410.0,96233363.0,0.372921,0.358408,-0.011820296892214257,-3.18208,-21675030.72600758,-2.84285,2057931926.2233226,3000000000.0,3000000000.0,8.4,-95.70494,2021-11-25T06:04:40.957Z,0.02897764,1144.57008,2020-11-04T15:59:14.441Z,,2023-08-16T20:16:51.576Z,-71.96117295336009,-3.182080153535148,-19.207544506555543
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,0.525392719,734451180.0,55.0,954413849.0,12382258.0,0.560379,0.524519,-0.02575295089356844,-4.67262,-33445764.204072356,-4.3555,1399007618.03125,1818000000.0,1818000000.0,3.39,-84.51721,2021-12-01T01:32:34.725Z,0.04559639,1050.99037,2020-03-13T02:29:26.415Z,"{'times': 3.378272661468458, 'currency': 'usd', 'percentage': 337.82726614684583}",2023-08-16T20:16:56.063Z,9.280140055557485,-4.672621465204014,-15.630011021858357
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,0.656713938,733579333.0,56.0,,100025775.0,0.681149,0.654756,-0.016622618286502355,-2.46869,-18439667.622214675,-2.45202,1116838979.5345,,,22.71,-97.10868,2018-04-29T07:50:33.540Z,0.5024,30.70363,2017-10-23T00:00:00.000Z,"{'times': -0.33665258783520324, 'currency': 'usd', 'percentage': -33.66525878352032}",2023-08-16T20:16:51.264Z,-51.4647619407588,-2.4686938693945315,-13.183719686316012
