id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency
piggy-bank-2,piggy,Piggy Bank,https://assets.coingecko.com/coins/images/30594/large/piggy_bank_logo_png.png?1685499632,0.00012336,0.0,,123360.0,30.13,,,,,,,0.0,1000000000.0,1000000000.0,0.00013211,-6.62629,2023-05-31T04:10:29.731Z,0.00011234,9.8067,2023-06-19T04:36:05.054Z,,2023-07-16T14:00:03.545Z,,,-0.0019645515212774792
pig-inu,piginu,Pig Inu,https://assets.coingecko.com/coins/images/29742/large/PGINU.png?1681096785,1.1415e-05,0.0,,11414.77,20.96,,,,,,,0.0,1000000000.0,1000000000.0,4.989e-05,-77.12207,2023-04-10T20:22:14.302Z,1.121e-05,1.83869,2023-05-17T14:15:43.340Z,,2023-05-18T12:31:59.130Z,,,0.0
pigs-2,afp,PIGS,https://assets.coingecko.com/coins/images/25910/large/Screenshot_from_2022-06-07_15-42-58.png?1654587865,25.030746751,0.0,,9014448.0,20679.0,,,,,,,0.0,360135.0,,191.57,-86.93394,2022-10-15T05:58:24.136Z,21.43,16.78682,2023-07-04T11:38:29.595Z,,2023-08-03T14:00:33.162Z,-68.23235394492674,,-12.730339010075975
pigscanfly,pork,PigsCanFly,https://assets.coingecko.com/coins/images/29961/large/PigsCanFly.png?1682388295,0.000520032,0.0,,4160.26,1.86,,,,,,,0.0,8000000.0,8000000.0,0.853924,-99.9391,2023-05-02T13:06:26.626Z,0.00051581,0.8191,2023-08-08T16:04:45.165Z,,2023-08-08T23:43:43.851Z,,,-7.876115938503409
badger-sett-badger,bbadger,Badger Sett Badger,https://assets.coingecko.com/coins/images/14502/large/BADGER_DAO.png?1616559959,3.307261389,0.0,,10424933.0,1986.37,3.27,2.95,0.288837,9.56915,0.0,0.0,0.0,3152134.56670074,,647.66,-99.49584,2021-11-10T13:34:25.552Z,-270.5773756887924,-101.20677,2021-11-10T13:57:14.883Z,,2023-08-16T20:24:33.700Z,-39.45223366079149,9.569147159039874,32.78918389082173
bacondao,bacon,BaconDAO,https://assets.coingecko.com/coins/images/18059/large/xDV_bhdA_400x400.jpg?1630333329,0.000264617,0.0,,52923.0,9593.53,0.00026652,0.00026261,-3.38636551254e-07,-0.12781,0.0,0.0,0.0,200000000.0,200000000.0,0.489454,-99.94604,2021-08-31T12:44:54.324Z,0.00018421,43.37227,2023-07-04T21:35:59.408Z,,2023-08-16T20:24:56.018Z,-93.65059806109515,-0.12780868320012145,16.15648089740166
pikaster,mls,Metaland Shares,https://assets.coingecko.com/coins/images/25665/large/I3pUwLZp_400x400.jpg?1653287346,0.089543913,0.0,,17508233.0,31684.0,0.095658,0.087453,-0.001686397033967543,-1.84851,0.0,0.0,0.0,200000000.0,200000000.0,1.1,-91.88672,2022-05-29T12:19:21.550Z,0.081139,10.35818,2023-08-03T06:42:26.308Z,,2023-08-16T20:25:37.468Z,-67.03007475092045,-1.848505204496774,-63.38014815624121
babyxrp,bbyxrp,BabyXrp,https://assets.coingecko.com/coins/images/16862/large/Final.png?1625469041,0.0,0.0,,128004.0,28.21,,,,,,,0.0,1000000000000000.0,,5.6138e-08,-99.77198,2021-07-16T16:40:55.164Z,9.2785e-11,37.95846,2022-07-13T13:33:12.525Z,,2023-08-15T12:34:22.968Z,-5.658326546765191,,-2.318721874081303
pilot,ptd,Pilot,https://assets.coingecko.com/coins/images/14442/large/logo.png?1616107071,0.000698696,0.0,,14588.43,34.8,0.00070959,0.0006951,-4.065505299894e-06,-0.5785,0.0,0.0,0.0,20882000.0,,1.46,-99.95222,2021-07-05T19:20:07.431Z,0.00057562,21.37182,2023-03-09T21:41:29.112Z,,2023-08-16T20:23:28.690Z,-76.30525839074897,-0.5785046172622407,-8.850866878891184
pi-network-iou,pi,Pi Network,https://assets.coingecko.com/coins/images/10021/large/8mKz2RnV_400x400.jpg?1574856808,26.22360162,0.0,,,270976.0,27.05,26.0,0.082868,0.31701,0.0,0.0,0.0,,,307.49,-91.46628,2022-12-30T09:42:56.831Z,0.055859,46876.2965,2019-11-28T13:00:14.254Z,,2023-08-16T20:25:14.827Z,7794.655293600355,0.3170061265948496,27.150288295507956
